Product,Module,User Story,Launch Date,Status,Role,Construction Points,Operation Points
Web Console,高密度資料瀏覽,表格視圖,,,QA,300,3
Web Console,高密度資料瀏覽,表格視圖,,,UI Designer,800,33
Web Console,高密度資料瀏覽,表格視圖,,,UX Designer,300,22
Web Console,高密度資料瀏覽,表格視圖,,,Web RD,800,30
Web Console,高密度資料瀏覽,進階匯出,,,AI Engineer,0,0
Web Console,高密度資料瀏覽,進階匯出,,,App RD,0,0
Web Console,高密度資料瀏覽,進階匯出,,,Backend RD,120,6
Web Console,高密度資料瀏覽,進階匯出,,,Data Engineer,0,20
Web Console,高密度資料瀏覽,進階匯出,,,Marketing,0,8
Web Console,高密度資料瀏覽,進階匯出,,,Operations,0,0
Web Console,高密度資料瀏覽,進階匯出,,,PDM,220,5
Web Console,高密度資料瀏覽,進階匯出,,,PJM,130,3
Web Console,高密度資料瀏覽,進階匯出,,,QA,80,2
Web Console,高密度資料瀏覽,進階匯出,,,UI Designer,330,13
Web Console,高密度資料瀏覽,進階匯出,,,UX Designer,220,8
Web Console,高密度資料瀏覽,進階匯出,,,Web RD,200,10
Web Console,進階篩選與查詢,JQL 介面,,,AI Engineer,0,0
Web Console,進階篩選與查詢,JQL 介面,,,App RD,0,0
Web Console,進階篩選與查詢,JQL 介面,,,Backend RD,600,28
Web Console,進階篩選與查詢,JQL 介面,,,Data Engineer,0,45
Web Console,進階篩選與查詢,JQL 介面,,,Marketing,0,18
Web Console,進階篩選與查詢,JQL 介面,,,Operations,0,10
Web Console,進階篩選與查詢,JQL 介面,,,PDM,480,18
Web Console,進階篩選與查詢,JQL 介面,,,PJM,280,11
Web Console,進階篩選與查詢,JQL 介面,,,QA,250,2
Web Console,進階篩選與查詢,JQL 介面,,,UI Designer,300,34
Web Console,進階篩選與查詢,JQL 介面,,,UX Designer,500,23
Web Console,進階篩選與查詢,JQL 介面,,,Web RD,500,20
Web Console,進階篩選與查詢,視圖儲存,,,AI Engineer,0,0
Web Console,進階篩選與查詢,視圖儲存,,,App RD,0,0
Web Console,進階篩選與查詢,視圖儲存,,,Backend RD,120,6
Web Console,進階篩選與查詢,視圖儲存,,,Data Engineer,0,8
Web Console,進階篩選與查詢,視圖儲存,,,Marketing,0,4
Web Console,進階篩選與查詢,視圖儲存,,,Operations,0,0
Web Console,進階篩選與查詢,視圖儲存,,,PDM,160,0
Web Console,進階篩選與查詢,視圖儲存,,,PJM,90,0
Web Console,進階篩選與查詢,視圖儲存,,,QA,60,1
Web Console,進階篩選與查詢,視圖儲存,,,UI Designer,210,7
Web Console,進階篩選與查詢,視圖儲存,,,UX Designer,140,4
Web Console,進階篩選與查詢,視圖儲存,,,Web RD,150,5
Web Console,客製化報表,自訂維度,,,AI Engineer,0,0
Web Console,客製化報表,自訂維度,,,App RD,0,0
Web Console,客製化報表,自訂維度,,,Backend RD,600,28
Web Console,客製化報表,自訂維度,,,Data Engineer,0,85
Web Console,客製化報表,自訂維度,,,Marketing,0,42
Web Console,客製化報表,自訂維度,,,Operations,0,10
Web Console,客製化報表,自訂維度,,,PDM,620,18
Web Console,客製化報表,自訂維度,,,PJM,380,11
Web Console,客製化報表,自訂維度,,,QA,350,3
Web Console,客製化報表,自訂維度,,,UI Designer,800,34
Web Console,客製化報表,自訂維度,,,UX Designer,300,23
Web Console,客製化報表,自訂維度,,,Web RD,800,30
Web Console,客製化報表,報表匯出,,,AI Engineer,0,0
Web Console,客製化報表,報表匯出,,,App RD,0,0
Web Console,客製化報表,報表匯出,,,Backend RD,120,6
Web Console,客製化報表,報表匯出,,,Data Engineer,0,15
Web Console,客製化報表,報表匯出,,,Marketing,0,8
Web Console,客製化報表,報表匯出,,,Operations,0,0
Web Console,客製化報表,報表匯出,,,PDM,160,0
Web Console,客製化報表,報表匯出,,,PJM,90,0
Web Console,客製化報表,報表匯出,,,QA,60,1
Web Console,客製化報表,報表匯出,,,UI Designer,210,7
Web Console,客製化報表,報表匯出,,,UX Designer,140,4
Web Console,客製化報表,報表匯出,,,Web RD,150,5
AI Advisor,預測與診斷,現金流預測,,,AI Engineer,400,20
AI Advisor,預測與診斷,現金流預測,,,App RD,0,0
AI Advisor,預測與診斷,現金流預測,,,Backend RD,240,12
AI Advisor,預測與診斷,現金流預測,,,Data Engineer,0,135
AI Advisor,預測與診斷,現金流預測,,,Marketing,0,45
AI Advisor,預測與診斷,現金流預測,,,Operations,0,0
AI Advisor,預測與診斷,現金流預測,,,PDM,720,12
AI Advisor,預測與診斷,現金流預測,,,PJM,430,7
AI Advisor,預測與診斷,現金流預測,,,QA,1700,110
AI Advisor,預測與診斷,現金流預測,,,UI Designer,210,7
AI Advisor,預測與診斷,現金流預測,,,UX Designer,140,4
AI Advisor,預測與診斷,現金流預測,,,Web RD,600,22
AI Advisor,預測與診斷,健康評分,,,AI Engineer,200,10
AI Advisor,預測與診斷,健康評分,,,App RD,0,0
AI Advisor,預測與診斷,健康評分,,,Backend RD,120,6
AI Advisor,預測與診斷,健康評分,,,Data Engineer,0,45
AI Advisor,預測與診斷,健康評分,,,Marketing,0,18
AI Advisor,預測與診斷,健康評分,,,Operations,0,0
AI Advisor,預測與診斷,健康評分,,,PDM,450,0
AI Advisor,預測與診斷,健康評分,,,PJM,270,0
AI Advisor,預測與診斷,健康評分,,,QA,1100,55
AI Advisor,預測與診斷,健康評分,,,UI Designer,138,7
AI Advisor,預測與診斷,健康評分,,,UX Designer,92,4
AI Advisor,預測與診斷,健康評分,,,Web RD,350,12
AI Advisor,預測與診斷,AI 對話,,,AI Engineer,500,25
AI Advisor,預測與診斷,AI 對話,,,App RD,0,0
AI Advisor,預測與診斷,AI 對話,,,Backend RD,120,6
AI Advisor,預測與診斷,AI 對話,,,Data Engineer,0,90
AI Advisor,預測與診斷,AI 對話,,,Marketing,0,45
AI Advisor,預測與診斷,AI 對話,,,Operations,0,0
AI Advisor,預測與診斷,AI 對話,,,PDM,390,12
AI Advisor,預測與診斷,AI 對話,,,PJM,230,7
AI Advisor,預測與診斷,AI 對話,,,QA,600,58
AI Advisor,預測與診斷,AI 對話,,,UI Designer,138,7
AI Advisor,預測與診斷,AI 對話,,,UX Designer,92,4
AI Advisor,預測與診斷,AI 對話,,,Web RD,600,22
Macro Data,B2B 數據服務,市場儀表板,,,AI Engineer,1150,110
Macro Data,B2B 數據服務,市場儀表板,,,App RD,0,0
Macro Data,B2B 數據服務,市場儀表板,,,Backend RD,240,22
Macro Data,B2B 數據服務,市場儀表板,,,Data Engineer,400,180
Macro Data,B2B 數據服務,市場儀表板,,,Marketing,0,90
Macro Data,B2B 數據服務,市場儀表板,,,Operations,0,50
Macro Data,B2B 數據服務,市場儀表板,,,PDM,770,22
Macro Data,B2B 數據服務,市場儀表板,,,PJM,460,13
Macro Data,B2B 數據服務,市場儀表板,,,QA,400,10
Macro Data,B2B 數據服務,市場儀表板,,,UI Designer,800,34
Macro Data,B2B 數據服務,市場儀表板,,,UX Designer,300,23
Macro Data,B2B 數據服務,市場儀表板,,,Web RD,600,20
Macro Data,B2B 數據服務,競品分析,,,AI Engineer,1150,110
Macro Data,B2B 數據服務,競品分析,,,App RD,0,0
Macro Data,B2B 數據服務,競品分析,,,Backend RD,240,22
Macro Data,B2B 數據服務,競品分析,,,Data Engineer,400,180
Macro Data,B2B 數據服務,競品分析,,,Marketing,0,90
Macro Data,B2B 數據服務,競品分析,,,Operations,0,50
Macro Data,B2B 數據服務,競品分析,,,PDM,770,22
Macro Data,B2B 數據服務,競品分析,,,PJM,460,13
Macro Data,B2B 數據服務,競品分析,,,QA,400,10
Macro Data,B2B 數據服務,競品分析,,,UI Designer,800,34
Macro Data,B2B 數據服務,競品分析,,,UX Designer,300,23
Macro Data,B2B 數據服務,競品分析,,,Web RD,600,20
Macro Data,B2B 數據服務,總經 API,,,AI Engineer,1150,110
Macro Data,B2B 數據服務,總經 API,,,App RD,0,0
Macro Data,B2B 數據服務,總經 API,,,Backend RD,240,22
Macro Data,B2B 數據服務,總經 API,,,Data Engineer,450,180
Macro Data,B2B 數據服務,總經 API,,,Marketing,0,90
Macro Data,B2B 數據服務,總經 API,,,Operations,0,50
Macro Data,B2B 數據服務,總經 API,,,PDM,580,22
Macro Data,B2B 數據服務,總經 API,,,PJM,350,13
Macro Data,B2B 數據服務,總經 API,,,QA,500,10
Macro Data,B2B 數據服務,總經 API,,,UI Designer,0,0
Macro Data,B2B 數據服務,總經 API,,,UX Designer,0,0
Macro Data,B2B 數據服務,總經 API,,,Web RD,950,58
Macro Data,B2B 數據服務,隱私合規,,,AI Engineer,1150,110
Macro Data,B2B 數據服務,隱私合規,,,App RD,0,0
Macro Data,B2B 數據服務,隱私合規,,,Backend RD,240,22
Macro Data,B2B 數據服務,隱私合規,,,Data Engineer,600,45
Macro Data,B2B 數據服務,隱私合規,,,Marketing,0,45
Macro Data,B2B 數據服務,隱私合規,,,Operations,0,100
Macro Data,B2B 數據服務,隱私合規,,,PDM,410,22
Macro Data,B2B 數據服務,隱私合規,,,PJM,240,13
Macro Data,B2B 數據服務,隱私合規,,,QA,300,10
Macro Data,B2B 數據服務,隱私合規,,,UI Designer,0,0
Macro Data,B2B 數據服務,隱私合規,,,UX Designer,0,0
Macro Data,B2B 數據服務,隱私合規,,,Web RD,240,22
